Title,Theme,Type,Media,Attribution,Tags,URL,Description,Image Rights,Unnamed: 9
Portrait of Joanna Smith,Charity,Painting,Charity 9_Joanna Smith,Norwich Castle Museum and Art Gallery,portrait; self-fashioning; charity; remembrance; virtue; morality; death; civic; quality of workmanship,"https://artuk.org/discover/artworks/mrs-joanna-smith-b-15331534-1617/search/collectionx:norwich-civic-portrait-collection-norwich-castle-museum-and-art-gallery-931/page/6
","The portrait includes an inscription with the date 1594 and the age of the sitter - 60.  Joanna Smith was a benefactor of St Peter Mancroft Church in Norwich. Her portrait includes three specific objects on the left that clearly had some significance - a cushion, an intricate piece of lacework and a gold lamp[?]. It is likely the painting records these as gifts to the church.
The portrait is part of the Norwich civic portrait collection, which includes somewhere between 19 and 22 portraits of mayors and benefactors painted before 1640. These portraits celebrated particular individuals as examples of civic authority and responsibility. This particular portrait is unusual as it depicts a female benefactor rather than a male civic official, and celebrates her contribution to the parish community. 
Women benefactors commonly appear in documents, with, for example, Thomasine Harrington and Charity White of Bristol being celebrated in the ‘Ledger of Benefactions’ manuscript for St. Mary Redcliffe, Bristol, for generous bequests which provided bread for the poor across the city for ever.
",Art UK online - non commercial or private study purposes so need permission from Norwich Castle Museum,
Bardney Benefaction Boards,Charity,Benefaction Boards,Charity 10_board 1 and Charity 10_board 2,Bardney Church,charity; benefaction board; portrait; remembrance; memorials; church; quality of workmanship; reading; looking; self-fashioning,"https://www.geograph.org.uk/photo/3789189
https://www.geograph.org.uk/photo/3789198
","These two boards celebrate charity by combining portraiture with benefaction biographies. Each explain the nature of the bequests in the form of money and land to be used for the benefit of the parish ‘forever’. These memorialise a long term form of charity and encourage others to do the same, with ‘Go & do thou likewise’ written with a manicule like hand emphasising the phrase. The portraits of William Hurstcroft, Joseph Knowles and John Knowles display features common in civic portraiture. For example, the skull ‑ a momento mori motif, reminding the viewer to prepare for life beyond death. The boards are in the same style, which gives the impression that each man is from the same charitable stock. There is also a loyalty to the parish represented in the writing about Joseph Knowles, who despite becoming a London apprentice, still remembered his home parish in his will. Middling migration to cities was common during this period, with many individuals like Shakespeare still remaining connected to their homes. These boards combine many of the genres of this charity theme – portraiture, benefaction boards, and instruction or exemplar. 
",Can take images in church but quite remote!,
Cotswold Games,Leisure,Print,Leisure 1_Cotswold Games,"Annalia Dubrensia (Annals of Dover), London, 1636",print; leisure; playing; reading; outside; ,?,"The question was an important one in the political and religious debates of sixteenth- and seventeenth century England. 
This woodcut represents one answer: the “Cotswold  Olympic Games,” instituted in the early seventeenth century—a festival of sports, cardplay, dancing, spectacle, and ceremony— brought together participants from across all genders and social backgrounds.  They were started by Robert Dover (on the horse at the front here), and included everything from chess to shin-kicking — as it was put in the collection of celebratory poems to which the woodcut belongs:
His mirth, his games, his engines, pleasing bee
To every sort of men, age, sex, degree. (E2r)
You can see many feats in the woodcut (horse-riding, throwing of coits, fencing, shin-kicking, hunting, dining, dicing, and tumbling—with a temporary “castle” placed spectacularly at the top-centre), more or less appropriate to different social stations and inclinations.  All were marked out by age, gender, and class: 
There the young men wrastle,
And throw the sledge, and spurne the heavy barre
As did the Romanes in the field of warre.
In the circumfrence of that pop’lous ring,
Youths intermixt with maides, to memorie bring
The dauncing of the auncient druides (D3r)
The middling are much more likely to have played elite, rather than working games. 

",?,
Woe to Drunkards,Leisure,Print,Leisure 2_Ward print,"Woe to drunkards,
A sermon by Samuel Ward
British Library, 1622
STC 25055.5; octavo size
",print; Samuel Ward; Ipswich; morality; virtue; reading; food/drink; sociability; ,?,"Leisure time in early modern England was a controversial subject that spanned moral, political, and religious debates.  The Ipswich preacher Samuel Ward, the town’s chief divine from 1605 to 1640, was an especially reformist figure.  His sermon against drunkards from 1622 found its way into print and proved popular, going through four editions in five years.  
Ward’s sermon is accompanied by a vivid woodcut that indicates the broader social critique contained within its moral and spiritual message.  The image contrasts an “old” England characterised by upright “knights” (represented by spur and stirrup), the bible, and the mace with “now”: a period seemingly corrupted by gaudy fashions (hence the ribbons on the leg), carding and dicing, and drinking and smoking.  These visions of recreational activity rely on middling individuals to remedy the situation, looking to magistrates, yeomanry, and various officeholders either to lead by example and by regulation, or conversely to institute festivities that uphold martial readiness alongside exercise, fun, and games.
",British library,
Tyg,Leisure,Furniture,Leisure 3_jug,"Post-medieval black-glazed tyg (c.1600-1700), Portable Antiquities Scheme LVPL-5D58CD
",Food/drink; tableware; health; sociability; decoration; acquiring; pottery/ceramics,https://finds.org.uk/database/artefacts/record/id/773315,"Drinking spaces were key locations for early modern men and women across the social spectrum, but they held unique significance for middling individuals aiming for or exercising local political and social agency. 
The watering holes of the period broadly sat on a spectrum from alehouses (the “lowest” form of drinking establishment) to taverns and then the more elite inns. In reality, however, the lines were porous.  Indeed, middling and elite members of communities visited each type of space, though the tavern and especially the inn were more noticeably spots where business, administration, religious organisation, and leisure combined.  
So, how did the middling interact here? 

",Portable Antiquities Scheme CC by SA,
Games,Leisure,Print,Leisure 4_play,"R. B., Delights for the ingenious
Huntington Library, Wing 687:04
1684
Duodecimo size
",Games; playing; leisure; sociability; reading; print; home; innovation,,"Emblem game and accompanying poem, from R.B.’s 1684 Delights for the Ingenious (the game itself comes from George Wither’s 1635 A Collection of Emblemes). 
The idea of such emblem games is to spin the wheel (with the arrow pinned in) until it falls upon a random number, which directs you to that particular emblem within the book itself.  Wither explains that “If the letter M. be placed before the allotted Number; then, that Lot is proper onely to a Man: If W. stand before it, it is proper onely to a Woman: If there be no letter, it is indifferent to both Sexes”.  The company are then to read and interpret the emblem, which are supposed to speak to the player’s condition.  
Houses in this period were undergoing changes in their structure (sometimes known as the Great Rebuilding of the century following 1550), which meant the central, floor to ceiling “Great Hall” had a ceiling put in half way up with new rooms above. Middling houses combined commercial labour and domestic comfort, work and recreation, but with more rooms, it was possible to use some only for leisure or dining. Here, R.B. explains that the game would “well become” the hall, parlour, or dining room—in the same way as chess or table play (a board game like draughts). 

",Huntington Library?,
Dice,Leisure,Games,Leisure 5_dice,"Dice: cast lead, with incised pips, 13.97 mm, 18.83 g. Found: Milton-under-Wychwood. PAS: BERK-985161",playing; leisure; bone; sociability; gesture; toys; ,https://finds.org.uk/database/artefacts/record/id/1014846,"In contrast to the likes of the Cotswold Games [LINK] or emblem books [LINK], dicing had a far less “honest” reputation in early modern England. Where the hugely influential early “advice columnist” Thomas Elyot (a writer of conduct literature) praises dancing or martial exercises as honest activities, he utterly condemns dicing as an “idle pastime.” Elyot was writing for both an aristocratic and a middling readership—targeting in particular those who get their living by the pen (through writing, advice, secretarial work, or tutoring) and the ways they might counsel leading statesmen.  This foundational text for aspirational middling clerics definitively states that dice are not profitable objects.
In spite of this sober advice, dice like these were everywhere in the period, and used by all.  Middling leisure items could therefore stretch from something as small as a single die to more elaborate and expensive items like virginals [link to skip].
Such tiny and inexpensive items are not recorded in inventories.  That makes it difficult to pin dice ownership with certainty onto those men and women who were wealthy enough to leave inventories behind them (as inventories were only taken of those who held at their deaths goods, property, and money of reasonable worth).  Yet the widespread nature of dicing; its appearance across the board in commentary, sermons, and advice literature; and the survival of archaeological artefacts mean that middling men and women would doubtless have engaged in diceplay—both in their homes and in taverns or inns. [Read more…]


",CC by SA,
Virginals,Leisure,Instrument,Leisure 6_virginals,"Virginals, English, V&A W.11-1933: made by Thomas White, 1642",instrument; quality of workmanship; listening; playing; leisure; sociability; home,https://collections.vam.ac.uk/item/O58986/rectangular-virginals-white-thomas/,"Some things were available to middling purchasers as more expensive versions of lower-status objects.
The virginal was a small harpsichord that usually, in England, came contained within an oak box.  Inside, the instruments are typically decorated (as here with an elaborate if vernacular landscape scene).  The virginal was a popular courtly instrument and Elizabeth I is known to have been a good player, though increasingly throughout the period virginals are to be found in the households of a range of individuals beyond the courtly aristocracy.  As such, the elaborateness and craft of the items and their materials varied.  Especially well-crafted and lavishly decorated virginals would be the preserve of the aristocracy and above, but plainer or more vernacular items were within reach of the middling.

",V&A needs license ,
Shawm,Leisure,Instrument,Leisure 7_Shawm,Recreated shawm by Erik Martens: https://earlymusicshop.com/products/copy-of-soprano-chalumeau-in-c-by-erik-martens,instrument; listening; playing; sociability; home,Recreated shawm by Erik Martens: https://earlymusicshop.com/products/copy-of-soprano-chalumeau-in-c-by-erik-martens,"This oboe-like woodwind instrument is known as the shawm or wait, and it in turn passes its name onto a town’s group of musicians in early modern England: the “waits.” Official town or city waits were originally medieval guards or “watchers” set up to man the boundaries of a settlement, but by the mid-sixteenth century they were almost exclusively musical performers.  These bands were paid by the local authorities and played across a range of civic events, festivals, and government events.
The shawm or wait therefore represents a particular form of recreation: one closely associated with “official” holidays, state- or civic-sponsored celebrations such as Whitsontide, Midsummer, or Christmas, and the welcoming of important people into the town.  They also appeared at guild and quarter sessions dinners and entertainments, where they might have been made and played by those at the bottom of the middling scale, to those at the very top of it or beyond into the gentry.
“Waits” like this instrument and its player, Marten, therefore emphasise the public dimension of musical performance—the cross-community equivalent of the more private, domestic, or coterie virginal [LINK]. 
And they can offer early provincial examples of successful actor-entrepreneurship, in which financial and cultural status is bound up with early modern England’s vibrant leisure industry. 

",?,
Commercial Entertainment,Leisure,Print,Leisure 8_playbill,perm. needed from BL; at b.18.e.2/74),print; leisure; Bristol; playing; theatre; civic; innovation; reading,,"This item is one of the vanishingly few surviving playbills from pre-Restoration England.  It advertises “rare dancing on the Ropes” by an “Irish Boy of eight years old,” a maid of 15, and “another Girl of four years of age,” who also “doth turn on the Stage.”  These “rare Activities of body” were to take place at the “Rose in winestreet” in Bristol, as the writing that fills the blank at the top of the bill makes clear.  The event is to be rounded off with the common narrative playlet or jig of Jack Pudding.
The breadth of play advertised here makes clear the abundance of performance (in the broad sense of the term) available to early modern men and women.  Where leisure could involve active engagement in sport, dicing and carding, or eating and drinking, it could also come from spectatorship or engagement in the porous activities of early modern theatrical venues. In any case, you had to pay to see the spectacles.
Playhouses and venues where “feats of activity” took place represent another leisure opportunity for the middling sort.  These spaces brought them into close interaction with influential officeholders and leading business-, trade-, and craftspeople, while providing professional entertainment. Such commercial spaces were also opportunities for middling proprietors, who used them for financial profit and political connections.  

",British library,
Bearbaiting,Leisure,Animal,Leisure 9_Bear skull,"Bear Skull, Dulwich College, London
(taken from Tarnya Cooper’s Searching for Shakespeare, p. 105
",Animal; London; playing; leisure; games; looking; performance,,"This is the skull of an adult female brown bear, and her eyes once stared out at crowds of people on London’s Bankside who had come to watch her engage in “sport” with dogs; it quite possibly, like many of its kin, travelled the country to other regions to ”perform.”  The commercial pastime known as “bearbaiting” was a major attraction in sixteenth- and seventeenth-century England, in which a bear would be chained to a stake and dogs would be set upon it (and spectators would often bet upon the winners). 
Probably the most well-known bearwards of the period are the playhouse builder Philip Henslowe and his brother-in-law, the famous actor Edward Alleyn.  Alleyn is a prime example of how commercial entertainment can not only provide leisure for wide audiences but can offer substantial financial and social mobility for its proprietors. Similar such bearwards established themselves in other areas of the country, including one John Seckerston based in Nantwich near Chester (and who brought and possibly sold his bears as far south as Bristol).
Alleyn in particular, who leaves a great deal of textual evidence behind him, draws together the ends of entertainment with other typically middling characteristics—in particular a concern for benefaction and legacy alongside the broader significance of “play” for social and cultural ambition.  Indeed, by 1605, Alleyn had purchased the manor of Dulwich where he built his house as well as almshouses, a charitable school and its chapel. The early modern entertainment industry, of which Alleyn was a key innovator, brought him up from jobbing actor to successful “play” entrepreneur and then eventually further beyond into the landed, coat-of arms-bearing elite.

",,
Visual Literacy,Literacy,Furniture,Literacy 1_chimney piece,Christ Church Museum Ipswich,chimney piece; narrative; Ipswich; home; decoration; sociability; looking,,"The term “literacy” refers most precisely to “the ability to read and write” and its extent within a “given community” (OED 1.) It also means, however, the ability to read in the broadest sense (OED 2.)—across a range of subjects or mediums (from written text to painted hangings).  Middling men and women are defined by the breadth and usefulness of their various literacies, some of which apply to craft skills (how to “read” quality distinctions or narrative engravings), some to leisure time (in books or parlour games), or in charitable acts (such as benefaction boards reliant on visual and textual memory) [LINKS].  In the widest sense, literacy defines the way working individuals navigated their professional, social, domestic, and recreational lives. 
This chimney piece, which would have sat in a property in Ipswich’s High Street, visually depicts a series of the 7 virtues. Early modern individuals were able to read and understand visual sequences, symbolism, and imagery to a highly sophisticated level, identifying symbols within each (such as the scales and sword of justice [LINK TO SWORD IN ASSETS]).  The level of recognition extends beyond what we might even recognize today, with highly attuned readings of iconography across all areas of life (on household goods, cloths, on buildings, or in performance, for instance); in other words, these are not simply a mode of storytelling for those unable to read letters and words, they have their own rich and complex meanings well understood, in particular by middling individuals who used visual imagery to furnish their spaces and goods. Indeed, middling individuals were well-situated to make iconography an aesthetic addition to the household.  The chimneypiece here represents an elaborate decoration of the domestic space above the fireplace, an area central to household activity and socialising.  The religious overtones of the virtues carry forward a particularly godly form of interior decoration, one that emphasizes good living and behaviour for those living in the house and advertises their piety to visitors. While religious changes after the Reformations of the 1530s and 1540s changed the reception of visual imagery, but it did not diminish its centrality to life: throughout the sixteenth and seventeenth century such visual details were a key part of literacy.
",,
Domestic Learning,Literacy,Manuscript,Literacy 2_virginal book,British Library Add MS 10337,manuscript; reading; playing; leisure; fellowship; self-fashioning,,"Musical tuition and virginal playing was popular among both men and women, increasingly those of the middling sort [link to leisure]. A number of “virginal books” survive from the period that record the notation and lyrics for songs survive from the period (as in British Library, Add. MS 10337, Elizabeth Roger’s virginal book).  One manuscript held at the British Library (Add. MS 15117) is marked John Strickland his Book, which combines horse-related expenses, dinner costs at Newcastle, and costs for “my Lord,” alongside well-laid out notation for songs.  
As such, virginal books combine financial and musical literacy and indicate the overlap between professional duty and leisure time, between service and learning.  As with emblem books [leisure link], playing at the virginals represents an overlap between forms of reading and recreation—a key aspect of middling leisure experiences.

",British Library,
Self Writing,Literacy,Manuscript,Literacy 3_accounting,?,self-fashioning; accounting; writing; recording; remembrance; home; administration,?,"One sign of middling literate practice that ranges across the bottom and top ends of the scale is the practice of keeping accounts. Account books like this one are not only financial records but can sometimes come close to what we would now class as a “diary” or to a record book, containing useful or inspirational quotations and recipes.  They also speak to collaborative practices, with household members as well as business associates working together to “reckon” debts and expenses.  Such account books also give a glimpse into the way written literacy was learned.  While traditional centres of learning like grammar schools taught formalised and classically-inspired methods of reading and writing, household dynamics centring on accounts meant that servants, apprentices, and young women could pick up numerical and textual skills. Legal testimonies from the period recount the experience of teenage girls, such as Mary de Clerk in Suffolk in 1573, observing her mother make accounts in a book such as this and detailing the methods and approaches required.  These account books are proof that acts of literacy for middling individuals in the period were both personal and communal, both part of public life and at the heart of the working (and learning) household.
[read more]

Pages from account book showing use of the same document over a period of years. The transfer of some information from one book to another that indicates an underlying idea of the division of information and the appropriateness of keeping certain types of evidence together. The keeper frequently records payments due and made, and in the latter case the place and time of doing so. The levels of crossing through suggest repeated visits to the information, and the status of the document as the 'current situation' financially. As such, it reveals some of the drivers behind literary recording.  

",?,
Inkhorn,Literacy,Furniture,Literacy 4_ink horn,"Shakespeare Birthplace Trust, STRST : SBT 1908-2",joining/carving; woodwork; writing; decoration; acquiring; self-fasioning,http://collections.shakespeare.org.uk/search/museum/strst-sbt-1908-2/view_as/grid/search/everywhere:ink-horn-173426/page/1,"In order to keep account books like the one just seen or like that of Mary de Clarke’s mother, individuals had to have access either to ready-bought ink or to ink of their own making.  Having ink in the household (or undertaking the process of making it) is one sign of middling status, as it marked out the ability of one or more household members to write, as well as suggesting there was a necessity (either for personal or professional reasons) to do so. 
This object is inkhorn, in which such ink would be stored. A quill  (like a modern pen) would be dipped into it before writing on the page. This one is made by a turner and is built to be portable, with a screw-on lid to keep the ink from drying out or leaking. Black ink was made of a mixture of galls (usually oak galls) and copperas (Iron II sulphate) and the chemical reaction that took place when these two substances mixed created the black colour. Other liquids formed the base of the ink: from wort to wine to aqua vitae to vinegar and to water. Then gum arabic was added in order to allow the ink to attach to paper. Writers had clear preferences for certain kinds of ink (examples of complaints of too watery ink - maybe Brinsley?), and many would experiment by making recipes at home. There are many thousands of printed and manuscript recipes for ink surviving for this period, demonstrating how the practice of its making was often home grown. Although many accounts (like the Bristol audits) demonstrate ink being purchased, it is rare to find an actual source for the substance before the mid-seventeenth century (Adrian Johns), and ink for writing was very different to the kind used in printing. Though it was likely that people bought ink from stationers, itinerant traders and markets, or made it themselves with ingredients purchased from apothecaries. 

",SBT ,
Civic literacy,Literacy,Furniture,Literacy 5_box,"Shakespeare Birthplace Trust, STRST : SBT 1996-33/1",box; recording; Stratford-upon-Avon; woodwork; storing,http://collections.shakespeare.org.uk/search/museum/strst-sbt-1996-33-1/view_as/grid/search/everywhere:deed-box/page/1,"Literacy was not confined to the household. It extended to wider communities and formed a central part of public life and institutional membership, in particular in the many ”local-government” bodies and craft companies run by and for middling individuals. This Elizabethan file system therefore provides an equivalent to the inkwell that sat upon an individual’s desk. It is a “deed box,” made for storing shared documents in an organised fashion so that they could be easily located. This particular box was owned by the Stratford-Upon-Avon Corporation and dates from between 1550-1650, and it would fit within a drawer in the Corporation’s premises. During this period there was an explosion in the number of records created by institutions and administrative bodies, who demanded sophisticated archiving systems. Stratford-Upon-Avon had a 'Cupboard of Boxes' made for them in 1594.. Often boxes were produced to house documents of various sizes, and they could be made waterproof with leather in order to safely transport text. This box is clearly labelled on the outside in black ink: ‘here in are the acquittanceis ffrom Worcester for the Vicars tenthes’. Such items as this box have an important place in our writing of the history of ordinary individuals, because they safely store written documents that become “history”: the Holmes family of Chester, for instance, copy out many of the documents stored in council-owned boxes like these, detailing their filing and archiving position in the building they’re stored in and explaining the significance of their contents.  These documents and descriptions are now a central part of understanding the practices and lives of middling people of the past.

",SBT,
Maps,Literacy,Manuscript,Literacy 6_map,"William Smith (1568) from Particuler View of England (pub. 1588)
",print; map; looking; reading; self-fashioning; recording; civic,,"The emphasis on a very specific location of a filing box, in the manner detailed by the Holme family, is an important sign of a newly expanding area of literacy—spatial literacy.  The early modern period saw a sea change in representations of space, not only because the printing press changed how information was presented on a page but also because of new visual forms.  The map had been around for a long time by the sixteenth century, but in the years that follow 1550 there is a huge expansion in the creation and availability of maps, which were printed and made available to middling individuals able to buy the pricey but not always prohibitive folio books they were printed in.  At the heart of the expansion in mapmaking were professional middling men like William Smith, who drew this map of Bristol while touring the country writing a “Lonely Planet” guide about local places and features.  Smith was trained in drawing coats of arms, but his interest in drawing extended to other pursuits.  Here, his detailed manuscript sketch falls into a recognisable model of Elizabethan and Jacobean geographies, and maps similar to this become particularly popular when John Speed’s famous maps of the period became more readily available in print.  These images offer new ways to think about space and movement, marking out key points in an urban setting and laying out road networks. They also speak to civic pride and history, creating mythologies and reputations about the locations they represent: here, using the shield with a ship in the top right, Bristol’s coat of arms, to emphasise its independent city status, while  depicting its burgeoning overseas trade power and incipient slave trade via the small ships. Such maps were made by middling individuals interested in local history and in finely describing and demarcating different regions in an emerging English national identity, and they were consumed by elite and middling viewers alike.
",British library,
Gingerbread Hornbook Mould,Literacy,Furniture,Literacy 7_gingerbread,"1965T4049 Pinto Collection Gingerbread Mould, 1600-1750 Birmingham Museums
",food/drink; reading; cooking; home; innovation; quality of workmanship; self-fashioning; sociability,https://www.bmagic.org.uk/objects/1965T4049/,"This ABC mould for making gingerbread demonstrates the way literate practice combines with other areas of daily life.  The food mould here “sweetens” the idea of learning for young children, and it demonstrates how sensory experience is bound up with reading and writing just as visual experience has its own literacy [LINK TO FIRST SLIDE]: not only are recipes for the middling increasingly preserved in textual form via notes on slips of paper or in commonplace books (like scrapbooks for words), but they also show how the dining experience is imbued with reading: trenchers (small plates) were often decorated with biblical or lyrical verses, for instance, meaning a meal at the table involved more than consuming meat, cheese, or drink [LINK TO PARLOUR GAME LEISURE].  
",Birmingham Museums ,
Published Text/ Sermon,Literacy,Print,Literacy 8_Sermon,"The Signes, by Nicholas Byfield, dedicated to Jane Ratcliffe
",gender; print; memorials; remembrance; virtue; morality; chester; death; Protestantism; widowhood; displays of piety; devotion,,"Literacy was increasingly a shared practice among those able to read and afford printed public texts. The early modern period is the time in which print emerges as a major force that shaped public and private lives, not dissimilar to the internet’s transformative impact in the 2000s and 2010s.  The print market had important connections with local literary traditions.  This essay was composed by the preacher of Chester, who also printed numerous sermons he had delivered in the city in the north-west of England. The essay, like the sermons (one of the most popular print market forms), found its way into print in London and would likely have been available there and perhaps also in the north west or elsehwere by any peddlers selling reasonably affordable religious pamphlets like these.  Byfield, the preacher who wrote the essay, builds in further local connections beyond London. He dedicates the essay to Jane Ratcliffe, a prominent middling resident of Chester.  Ratcliffe was the daughter of Robert Brerewood, a “self-made man” who made a substantial fortune and amassed political capital (including two mayoralties) in the area through his trade as a glover [LINK TO GLOVES ASSETS].  The Ratcliffe family Jane married into were also substantial local figures who held positions of mayor and rose to prominence as brewers.  Jane Ratcliffe was also the dedicatee of another pamphlet by John Ley about “pious” living.  This print publication therefore exemplifies how local questions of status can reach a national audience, and it encapsulates a particular idea of middling propriety: the industrious, religious, and well-behaved wife from a respectable family background.  Through texts such as this, very particular local ideas of social status begin to align with a developing national idea of “middling” behaviour.
",British library?,
Diary,Memory,Manuscript,Memory 1_Thomas Greene,"Shakespeare Birthplace Trust,BRU15/13/26a recto",manuscript; civic; recording; writing; self-fashioning; remembrance; office-holding; stratford-upon-avon,https://shakespearedocumented.folger.edu/resource/document/thomas-greene-s-notes-progress-proposed-enclosures-welcombe-include-five,"Memory prompts came in many forms during the sixteenth and seventeenth centuries and were contained within objects and texts. These remembrances, memorials, chronicles and memoranda gestured to collective historical or biblical events and people, or individual matters like lists of debt or small reminders. 
  
The wealthiest middling sorts of people within a locale held positions of office within their communities in which they’d be part of the production of records for remembering legal, political, cultural and financial information for their locale. In 1538, parishes were required to keep a parish chest with registers of births, marriages and deaths within their communities. This kind of record keeping was replicated by guilds and corporations, and these documents generated spatially situated narratives in which a locale or institution was celebrated. 
  
Remembering people, places, institutions or events was a means through which the past was brought into the present through objects, memorials and texts. Prominent individuals and events could be preserved in the memory of a locale through memorials. These objects could also hold didactic qualities; teaching moral values like charity, good governance or preparing for life after death. A good reputation was essential to middling families’ authority and identity within a community, and reminders of exceptional individuals within a locale, ancestors or important events, would recall the importance of living well.  
  
Many of the objects within this theme hold multi-layered meanings as memory-prompts. Some combine the national, local and familial, whilst some recall Biblical stories or ways in which someone should live. 

Image 1: Thomas Greene's Diary

This first object is an example of a diary compiled between 1614 and 1615 in Stratford-upon-Avon by Thomas Greene, the town clerk and steward. Unlike modern diaries, which focus on inner thoughts and feelings, Greene’s is more concerned with external events (which was very common in diaries of this period, Smyth, p.434). He records his participation in the town corporation’s fight against the enclosure of the common fields in order to remember his conversations and actions during this time. Enclosure was the dividing up of and privatisation of land by estate owners. Landowners would build ditches and fences, then turn land for crops into fields for grazing livestock. This would generate more profit for them, but would cause poverty in the local area because it would deprive people of work gathering crops, and prevent them from using land which was once common fields for generating food or keeping their own livestock. In Stratford-upon-Avon, it also led to the depopulation of the village of Welcombe causing hardship to those that once lived there, who were cast out of their homes by landowners. 
",Shakespeare Birthplace trust,
Momento Mori,Memory,Jewellery,Memory 2_ring; Memory 2_ring2,Portable Antiquities Scheme,memory; death; remembrance; metalwork; memorials; clothing; displays of piety,"https://finds.org.uk/database/artefacts/record/id/468822; https://finds.org.uk/database/artefacts/record/id/115738

","Momento mori (remember death) motifs were very common in the sixteenth and seventeenth centuries. These two rings are examples of remembrance jewellery which was often bequeathed in wills, where a testator would give money for them to be made for friends and family (Evans, English Posies, p.xxvii). The ring containing a skull is made of gold, which was a material only accessible to the wealthiest upper middling status individuals in a community. It holds the inscription ‘DIE TO LIVE’ to remind the wearer of life beyond death. The other ring is made of copper, a cheaper material which mimicked gold in its appearance (though would tarnish over time to a green-blue colour). This kind of ring would have been accessible for a many people of middling status, whilst still being a very special item, and may have been one of the only pieces of jewellery owned by an individual. Like Greene’s diary, these rings have both a personal function (remembering friends and family past) and a public purpose to display a person’s wealth and focus on leading a good life to their communities. 
",CC by SA,
Memorial,Memory,Furniture,Memory 3_memorial,St Thomas' Church Salisbury,memorial; joining/carving; remembrance; death; church; Salisbury; displays of piety; devotion; narrative; quality of workmanship,,"Memorials have a clear connection to an individual, but unlike the previous two objects, these are displayed within public spaces, such as the parish church in order to remember prominent individuals. This is a memorial to Humphrey Beckham, which sits in St Thomas’ Church in Salisbury. It is made of oak, and the carved scene is Beckham’s own work. The inscription, added after Humphrey’s death, reads: ‘Here lyeth the body of Humphrey Beckham who died the 2nd day of February anno 1671 aged 83 yrs. His own worke.’ Before this object was repurposed as a memorial, it was likely to have been displayed in Beckham’s home, and acted as a reminder of his Christian faith (Hamling ref). 
",Own image can be taken,
Acrostic Memorials,Memory,Picture,Memory 4_smart,"St Margaret's  Church, Ipswich",memorial; picture; acrostic; charity; church; ipswich; officeholding; death,,"William Smart’s memorial is an example of how a middling officeholder who served their community through officholding was remembered. The acrostic reads: 
What can a deade man feede and cloth and holy precepts giue? 
It can not be tush tel not me I know he stil dooth liue 
Liue then sweete soule in ample rest example to rest, 
Like thine his ground must low be laid that high will build his nest 
If none think now on thank: if out of sight be out of minde: 
Although tis wrong: yit light’s thy los, that heuenly thank dost finde 
May neuer yet faire Ipswich nye be foully so unkinde 
Schooles, Churches, Orphanarye rooms shal keepe ye stil in sight, 
Men, Weem’n, Children, ould and yung, shall wail the day and night 
Alas then not for ye wee cri out for our selues alas,   
R[ece]uing the want of such a wight as al thine age did pas. 
Thus I le poore Man one did moorne, thus gras bewayled gras 
William Smart held multiple offices during his life including: treasurer, coroner, claviger, a member of the council of twelve, portman, justice, bailiff and treasurer of Christ’s hospital. He was a merchant who was connected to the cloth trade, and was very charitable, something that is gestured at in his memorial in the line: ‘schools, churches orphanarye rooms shal keepe ye still in sight’. By using his name as the basis for the acrostic, the memorial gives the sense of Smart embodying the qualities within the verse. Smart is also depicted on the bottom right of the memorial, knelt in prayer and wearing his civic regalia. Those admiring the memorial would see Smart as an exemplary, godly individual through the combination of word and image. 
",Image can be gotten by church,
Joan and John Cooke Portrait,Memory,Picture,Memory 5_portrait,Gloucester Folk Museum,,https://artuk.org/discover/artworks/john-cooke-d-1528-and-joan-cooke-d-1545-62325/search/collectionx:gloucester-museums-service-art-collection-546/page/4,"This is one of 12 Gloucester civic portraits, and depicts husband and wife John and Joan Cooke. It was painted long after the sitters died to commemorate and celebrate their achievements and to serve as a reminder to follow their example of good citizenship. John is depicted wearing his mayor’s robe and Joan holds a pair of gloves. NEED MORE...
","Need permission, but on Art UK",
Cupboard of Boxes,Memory,Furniture,Memory 6_cupboard,"Shakespeare Birthplace Trust, STRST : SBT L513",,http://collections.shakespeare.org.uk/search/museum/strst-sbt-l513,"The Stratford upon Avon Corporation had this cupboard of Boxes made in 1594 for the storage and organisation of their records. This cupboard was kept on the first floor, alongside other storage devices, and facilitated the reference and retrieval of information by town officials. This cupboard, then, acted as a memory aid for the town’s corporation, by enabling documents to be stored in logical order. Muniments stored and created within a town were important to the establishment of a company’s authority. Robert Tittler has argued that good governance ‘often depended on its [the town’s] ability to produce the right documents in court’ meaning that the ‘safe and secure preservation’ of documents was essential. Furnishings, such as this cupboard, materially underpinned records generated by educated administrators responsible for the reputation of their locale. For men involved in civic governance, writing was an important tool through which they could craft a perception of their town, have legal and political influence, and create a lasting legacy through documentary evidence. 
",SBT,
